Sample	flow_Tcell
IPIBLAD001.T1	70.0
IPIBLAD002.T1	71.5
IPIBLAD003.T1	56.75
IPIBLAD004.T1	51.5
IPIBLAD006.T1	10.5
IPIBLAD007.T1	35.75
IPIBLAD009.T1	15.25
IPIBLAD010.T1	91.5
IPIBLAD011.T1	83.75
IPIBLAD012.T1	37.5
IPIBLAD015.T1	12.25
IPIBLAD032.T1	52.5
IPIBLAD033.T1	3.5
IPIBLAD034.T1	44.25
IPIBLAD036.T1	86.0
IPIBLAD040.T1	59.25
IPICRC010.T1	30.0
IPICRC011.T1	53.0
IPICRC012.T1	6.5
IPICRC030.T1	16.0
IPICRC031.T1	39.5
IPICRC032.T1	18.75
IPICRC034.T1	7.5
IPICRC057.T1	44.25
IPICRC060.T1	19.5
IPICRC072.T1	48.75
IPICRC073.T1	38.75
IPICRC077.T1	66.25
IPICRC079.T1	42.75
IPICRC080.T1	26.5
IPICRC088.T1	40.5
IPICRC089.T1	55.75
IPICRC090.T1	50.5
IPICRC093.T1	31.0
IPIGBM001.T1	11.0
IPIGBM002.T1	12.25
IPIGBM003.T1	23.25
IPIGBM004.T1	17.25
IPIGBM005.T1	26.5
IPIGBM006.T1	8.0
IPIGBM007.T1	10.0
IPIGBM008.T1	6.0
IPIGBM011.T1	2.0
IPIGBM012.T1	8.5
IPIGYN003.T1	45.0
IPIGYN018.T2	75.75
IPIGYN021.T1	16.5
IPIGYN045.T1	25.5
IPIGYN065.T1	67.25
IPIGYN070.T1	23.25
IPIGYN073.T1	36.5
IPIGYN074.T1	21.5
IPIGYN084.T1	58.5
IPIGYN086.T1	62.0
IPIGYN087.T1	0.5
IPIGYN088.T1	51.0
IPIGYN095.T1	18.0
IPIGYN096.T1	14.0
IPIGYN100.T1	93.0
IPIGYN116.T1	37.5
IPIGYN124.T1	61.5
IPIGYN125.T1	9.5
PIGYN130.T1	7.0
PIGYN134.T1	25.0
IPIHEP001.T1	27.75
IPIHEP013.T1	97.0
IPIHEP015.T1	96.25
IPIHEP021.T1	63.0
IPIHEP028.T1	83.75
IPIHEP029.T1	77.0
IPIHEP030.T1	88.75
IPIHEP031.T1	35.0
IPIHEP032.T1	90.5
IPIHEP033.T1	85.5
IPIHNSC021.T1	42.75
IPIHNSC022.T1	98.0
IPIHNSC023.T1	100.0
IPIHNSC024.T1	27.75
IPIHNSC025.T1	83.75
IPIHNSC026.T1	83.75
IPIHNSC029.T1	88.0
IPIHNSC031.T1	77.5
IPIHNSC050.T1	41.0
IPIHNSC057.T1	46.5
IPIHNSC059.T1	71.0
IPIHNSC060.T1	57.75
IPIHNSC061.T1	20.5
IPIHNSC062.T1	80.0
IPIHNSC063.T1	95.0
IPIHNSC065.T1	41.5
IPIHNSC069.T1	5.0
IPIHNSC070.T1	82.0
IPIHNSC072.T1	50.0
IPIHNSC075.T1	54.75
IPIHNSC076.T1	46.0
IPIHNSC077.T1	69.25
IPIHNSC078.T1	18.75
IPIHNSC079.T1	67.25
IPIKID022.T1	99.5
IPIKID023.T1	74.0
IPIKID027.T1	91.0
IPIKID031.T1	72.0
IPIKID031.T2	53.5
IPIKID033.T2	75.0
IPIKID043.T1	65.25
IPIKID070.T1	78.5
IPIKID073.T1	31.75
IPIKID083.T1	87.0
IPIKID084.T1	92.0
IPIKID085.T1	93.75
IPIKID086.T1	72.5
IPIKID086.T2	64.25
IPIKID088.T1	48.0
IPIKID089.T1	40.0
IPIKID090.T1	73.25
IPIKID091.T1	80.5
IPIKID092.T1	93.75
IPIKID093.T1	75.75
IPIKID093.T2	54.0
IPIKID094.T1	68.5
IPIKID094.T2	42.75
IPIKID095.T1	92.5
IPIKID097.T1	20.0
IPIKID100.T1	99.0
IPIKID102.T1	68.0
IPIKID103.T1	83.75
IPIKID104.T1	45.5
IPIKID108.T1	57.75
IPIKID109.T1	56.75
IPIKID110.T1	11.5
IPILUNG001.T1	31.75
IPILUNG002.T1	65.25
IPILUNG003.T1	73.25
IPILUNG004.T1	49.5
IPILUNG006.T1	61.0
IPILUNG014.T1	28.5
IPILUNG015.T1	60.0
IPILUNG024.T1	30.5
IPILUNG025.T1	52.0
IPILUNG031.T1	63.5
IPILUNG037.T1	76.5
IPILUNG041.T1	87.5
IPILUNG056.T1	81.25
IPILUNG080.T1	74.5
IPILUNG088.T1	95.5
IPIMEL031.T1	15.25
IPIMEL025.T1	62.5
IPIMEL027.T1	96.25
IPIMEL056.T1	94.5
IPIMEL105.T2	70.5
IPIMEL191.T1	35.75
IPIMEL108.T1	14.5
IPIMEL113.T1	54.75
IPIMEL125.T1	21.5
IPIMEL127.T1	83.75
IPIMEL131.T1	37.5
IPIMEL146.T1	98.5
IPIMEL181.T1	17.25
IPIMEL191.T1	33.75
IPIMEL208.T1	78.0
IPIMEL226.T1	88.75
IPIMEL252.T1	86.5
IPIMEL274.T1	97.5
IPIMEL288.T1	90.0
IPIMEL296.T1	89.5
IPIPDAC001.T1	23.25
IPIPDAC002.T1	23.25
IPIPDAC003.T1	4.25
IPIPDAC004.T1	59.25
IPIPDAC005.T1	47.5
IPIPDAC013.T1	33.75
IPIPDAC021.T1	69.25
IPIPDAC029.T1	13.5
IPIPDAC032.T1	33.75
IPIPDAC034.T1	79.0
IPIPDAC037.T1	32.5
IPIPDAC041.T1	3.0
IPIPDAC047.T1	1.0
IPIPDAC050.T1	21.5
IPIPDAC051.T1	60.5
IPIPDAC052.T1	33.75
IPIPDAC053.T1	2.5
IPIPDAC056.T1	5.5
IPIPDAC058.T1	4.25
IPIPNET005.T1	13.0
IPIPNET007.T1	29.5
IPIPNET010.T1	1.5
IPIPNET016.T1	29.0
IPISRC001.T1	64.25
IPISRC003.T1	47.0
IPISRC004.T1	79.5
IPISRC009.T1	81.25
IPISRC015.T1	9.0
IPISRC021.T1	48.75
IPISRC022.T1	38.75
IPISRC024.T1	66.25
IPISRC025.T1	42.75
IPISRC026.T1	26.5
IPISRC027.T1	55.75
IPISRC035.T1	24.5
