Sample	flow_Myeloid
IPIBLAD001.T1	10.8
IPIBLAD002.T1	5.7
IPIBLAD006.T1	31.4
IPIBLAD007.T1	7.1
IPIBLAD009.T1	10.8
IPIBLAD010.T1	2.7
IPIBLAD032.T1	18.2
IPIBLAD033.T1	2.16
IPIBLAD034.T1	8.088
IPIBLAD036.T1	9.8
IPICRC030.T1	22.7
IPICRC031.T1	1.91
IPICRC032.T1	21.2
IPICRC034.T1	20.8
IPICRC057.T1	5.09
IPICRC060.T1	0.5
IPICRC072.T1	8.12
IPICRC073.T1	2.44
IPICRC077.T1	5.16
IPICRC079.T1	20.7
IPICRC080.T1	1.91
IPICRC088.T1	0.28
IPICRC089.T1	22.8
IPICRC090.T1	14.1
IPICRC093.T1	0.8
IPIGBM001.T1	10.9
IPIGBM002.T1	20.1
IPIGBM003.T1	12.7
IPIGBM004.T1	17.8
IPIGBM005.T1	4.3
IPIGBM006.T1	13.8
IPIGBM007.T1	12.9
IPIGBM008.T1	10.9
IPIGBM011.T1	18.7
IPIGYN003.T1	6.02
IPIGYN018.T2	1.31
IPIGYN021.T1	1.57
IPIGYN045.T1	20.8
IPIGYN065.T1	15.5
IPIGYN070.T1	9.88
IPIGYN073.T1	11.8
IPIGYN074.T1	3.89
IPIGYN084.T1	20.6
IPIGYN086.T1	8.89
IPIGYN087.T1	1.43
IPIGYN088.T1	13.8
IPIGYN095.T1	9.19
IPIGYN096.T1	3.66
IPIGYN100.T1	3.48
IPIGYN116.T1	3.09
IPIGYN124.T1	4.47
IPIGYN125.T1	9.08
PIGYN130.T1	6.37
PIGYN134.T1	7.08
IPIHEP001.T1	0.99
IPIHEP012.T1	10
IPIHEP013.T1	20.2
IPIHEP015.T1	16.7
IPIHEP021.T1	3.87
IPIHEP028.T1	15
IPIHEP029.T1	19
IPIHEP030.T1	6.01
IPIHEP031.T1	5.85
IPIHEP032.T1	10
IPIHNSC021.T1	1.02
IPIHNSC022.T1	1.33
IPIHNSC023.T1	10.7
IPIHNSC024.T1	0.48
IPIHNSC029.T1	4.75
IPIHNSC031.T1	1
IPIHNSC050.T1	14.1
IPIHNSC059.T1	7.8
IPIHNSC065.T1	9.41
IPIHNSC070.T1	9.42
IPIHNSC075.T1	15.9
IPIHNSC076.T1	7.7
IPIHNSC077.T1	15.3
IPIHNSC078.T1	1.64
IPIHNSC083.T1	5.7
IPIKID022.T1	20.6
IPIKID023.T1	27.8
IPIKID027.T1	5
IPIKID030.T1	17.2
IPIKID031.T2	19.2
IPIKID033.T2	2.38
IPIKID043.T1	19.7
IPIKID073.T1	2.9
IPIKID083.T1	15.4
IPIKID084.T1	25
IPIKID086.T2	16.1
IPIKID088.T1	21.7
IPIKID090.T1	15.6
IPIKID092.T1	7.77
IPIKID095.T1	9.5
IPIKID097.T1	6
IPIKID100.T1	5
IPIKID102.T1	29.8
IPIKID103.T1	13.6
IPIKID104.T1	33
IPIKID109.T1	25.1
IPIKID110.T1	10.3
IPILUNG001.T1	3.87
IPILUNG002.T1	13.37
IPILUNG003.T1	12.8
IPILUNG004.T1	15.9
IPILUNG006.T1	16.3
IPILUNG014.T1	5.89
IPILUNG015.T1	12.25
IPILUNG024.T1	25.9
IPILUNG025.T1	2.28
IPILUNG031.T1	3.55
IPILUNG037.T1	1.51
IPILUNG041.T1	3.55
IPILUNG056.T1	4.74
IPILUNG080.T1	7.8
IPILUNG088.T1	3.84
IPIMEL025.T1	1.98
IPIMEL027.T1	1.7
IPIMEL031.T1	0.14
IPIMEL056.T1	2.56
IPIMEL069.T1	2.56
IPIMEL105.T2	1.06
IPIMEL106.T1	0.92
IPIMEL108.T1	0.98
IPIMEL113.T1	0.34
IPIMEL125.T1	1.79
IPIMEL127.T1	1.36
IPIMEL131.T1	1.86
IPIMEL146.T1	11.6
IPIMEL208.T1	1.98
IPIMEL253.T1	10
IPIMEL274.T1	0.34
IPIMEL288.T1	0.82
IPIMEL296.T1	0.19
IPIPDAC002.T1	17.4
IPIPDAC003.T1	18
IPIPDAC004.T1	2.8
IPIPDAC005.T1	19
IPIPDAC013.T1	25
IPIPDAC021.T1	33
IPIPDAC029.T1	28
IPIPDAC037.T1	17.4
IPIPDAC047.T1	1.2
IPIPDAC050.T1	0.8
IPIPDAC051.T1	10.33
IPIPDAC053.T1	20.22
IPIPDAC056.T1	7.55
IPIPDAC058.T1	21.22
IPIPNET005.T1	1.2
IPIPNET007.T1	18.4
IPIPNET010.T1	2.97
IPIPNET016.T1	7.87
IPISRC001.T1	12.7
IPISRC003.T1	15
IPISRC004.T1	10.5
IPISRC009.T1	10
IPISRC015.T1	3.4
IPISRC021.T1	25.1
IPISRC024.T1	9.5
IPISRC026.T1	25
IPISRC027.T1	20.6
IPISRC035.T1	10.1