Sample	flow_Stroma
IPIBLAD007.T1	1.11
IPIBLAD009.T1	3.15
IPIBLAD010.T1	0.07
IPIBLAD032.T1	2.8
IPIBLAD033.T1	0.08
IPIBLAD034.T1	8.7
IPIBLAD036.T1	4.3
IPICRC010.T1	0.007
IPICRC011.T1	0.25
IPICRC012.T1	0.56
IPICRC030.T1	1.8
IPICRC032.T1	1.2
IPICRC057.T1	0.003
IPICRC060.T1	0.1
IPICRC073.T1	5.3
IPICRC074.T1	4
IPICRC075.T1	2
IPICRC076.T1	5.3
IPICRC080.T1	0
IPICRC090.T1	1.5
IPICRC093.T1	4.16
IPIGBM001.T1	5.48
IPIGBM002.T1	0.25
IPIGBM003.T1	10.1
IPIGBM004.T1	8.15
IPIGBM005.T1	0.72
IPIGBM006.T1	7.2
IPIGBM007.T1	15.8
IPIGYN003.T1	7.22
IPIGYN018.T2	0.3
IPIGYN021.T1	0.1
IPIGYN045.T1	2.76
IPIGYN065.T1	4.32
IPIGYN070.T1	5.41
IPIGYN073.T1	0.73
IPIGYN074.T1	3.12
IPIGYN084.T1	0.09
IPIGYN086.T1	5.3
IPIGYN087.T1	0.66
IPIGYN095.T1	3.74
IPIGYN096.T1	2.66
IPIGYN100.T1	1.81
IPIGYN116.T1	3.16
IPIGYN125.T1	8.03
IPIGYN130.T1	6.77
IPIGYN134.T1	0.56
IPIHEP001.T1	0.29
IPIHEP012.T1	4
IPIHEP013.T1	0.57
IPIHEP015.T1	3
IPIHEP017.T1	4
IPIHEP021.T1	1.21
IPIHEP028.T1	0.01
IPIHEP030.T1	0.2
IPIHEP032.T1	2.02
IPIHNSC022.T1	4.44
IPIHNSC023.T1	6
IPIHNSC031.T1	0.26
IPIHNSC050.T1	10.7
IPIHNSC059.T1	1.56
IPIHNSC065.T1	5.8
IPIHNSC069.T1	2.28
IPIHNSC074.T1	1.7
IPIHNSC076.T1	7.8
IPIHNSC077.T1	8.4
IPIHNSC078.T1	4
IPIKID027.T1	4.32
IPIKID031.T1	1.5
IPIKID031.T2	1.02
IPIKID043.T1	0.23
IPIKID073.T1	5.47
IPIKID083.T1	0.13
IPIKID084.T1	0.58
IPIKID085.T1	0.45
IPIKID086.T1	0.3
IPIKID086.T2	0.58
IPIKID088.T1	6.5
IPIKID089.T1	0.049
IPIKID090.T1	0.4
IPIKID092.T1	2.38
IPIKID093.T1	0.6
IPIKID093.T2	6.79
IPIKID094.T1	7
IPIKID094.T2	9.35
IPIKID100.T1	0.071
IPIKID102.T1	0.58
IPIKID103.T1	0.8
IPIKID104.T1	0.24
IPIKID108.T1	0.67
IPIKID109.T1	2.63
IPIKID110.T1	1
IPILUNG014.T1	0.8
IPILUNG015.T1	0.81
IPILUNG031.T1	0.3
IPILUNG041.T1	0
IPILUNG056.T1	0.22
IPILUNG080.T1	1.6
IPILUNG088.T1	0.9
IPIMEL056.T1	0.2
IPIMEL106.T1	0.02
IPIMEL131.T1	0.19
IPIMEL146.T1	1.55
IPIMEL253.T1	0
IPIMEL274.T1	0.38
IPIMEL288.T1	0
IPIMEL296.T1	0.19
IPIPDAC003.T1	9.89
IPIPDAC004.T1	12.3
IPIPDAC005.T1	2.33
IPIPDAC013.T1	5.91
IPIPDAC021.T1	10.21
IPIPDAC029.T1	4.21
IPIPDAC037.T1	10
IPIPDAC047.T1	16.48
IPIPDAC050.T1	5.48
IPIPDAC051.T1	0.34
IPIPDAC053.T1	7.88
IPIPNET007.T1	6.55
IPIPNET010.T1	1.25
IPIPNET016.T1	7.31
IPISRC001.T1	11.2
IPISRC003.T1	9.7
IPISRC004.T1	8.6
IPISRC009.T1	6.8
IPISRC015.T1	6.11
IPISRC026.T1	3.45